CASE_NUMBER;CASE_STATUS;CASE_SUBMITTED;DECISION_DATE;VISA_CLASS;EMPLOYMENT_START_DATE;EMPLOYMENT_END_DATE;EMPLOYER_NAME;EMPLOYER_BUSINESS_DBA;EMPLOYER_ADDRESS;EMPLOYER_CITY;EMPLOYER_STATE;EMPLOYER_POSTAL_CODE;EMPLOYER_COUNTRY;EMPLOYER_PROVINCE;EMPLOYER_PHONE;EMPLOYER_PHONE_EXT;AGENT_REPRESENTING_EMPLOYER;AGENT_ATTORNEY_NAME;AGENT_ATTORNEY_CITY;AGENT_ATTORNEY_STATE;JOB_TITLE;SOC_CODE;SOC_NAME;NAICS_CODE;TOTAL_WORKERS;NEW_EMPLOYMENT;CONTINUED_EMPLOYMENT;CHANGE_PREVIOUS_EMPLOYMENT;NEW_CONCURRENT_EMPLOYMENT;CHANGE_EMPLOYER;AMENDED_PETITION;FULL_TIME_POSITION;PREVAILING_WAGE;PW_UNIT_OF_PAY;PW_WAGE_LEVEL;PW_SOURCE;PW_SOURCE_YEAR;PW_SOURCE_OTHER;WAGE_RATE_OF_PAY_FROM;WAGE_RATE_OF_PAY_TO;WAGE_UNIT_OF_PAY;H1B_DEPENDENT;WILLFUL_VIOLATOR;SUPPORT_H1B;LABOR_CON_AGREE;PUBLIC_DISCLOSURE_LOCATION;WORKSITE_CITY;WORKSITE_COUNTY;WORKSITE_STATE;WORKSITE_POSTAL_CODE;ORIGINAL_CERT_DATE
I-200-17043-383994;CERTIFIED;42780.0;42787.0;H-1B;42814.0;43907.0;INFOSYS LIMITED;N/A;6100 TENNYSON PARKWAY;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;N;,;;;TECHNOLOGY LEAD - US - PROFESSIONAL;15-1121;COMPUTER SYSTEMS ANALYST;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;74818.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;74818.0;0.0;Year;Y;N;Y;;;JUNO BEACH;PALM BEACH;FL;33408;
I-200-17228-671967;CERTIFIED;42965.0;42971.0;H-1B;42982.0;44078.0;VAN ECK ASSOCIATES CORPORATION;;666 THIRD AVENUE;NEW YORK;NY;10017;;;;;;,;;;TRADE SETTLEMENT ANALYST;13-2051;FINANCIAL ANALYSTS;525910;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;62462.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;62462.0;63000.0;Year;N;N;NA;;;TAMPA;HILLSBOROUGH;FL;33609;
I-200-17018-892817;CERTIFIED;42753.0;42759.0;H-1B;42766.0;43861.0;SYNECHRON, INC.;;1571 SAWGRASS CORP PKWY;SUNRISE;FL;33323;UNITED STATES OF AMERICA;;9546715349;;Y;SINGH, RAJDEEP;ATLANTA;GA;ASSOCIATE SPECIALIST-QC/QA ANALYST;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;68702.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;85000.0;0.0;Year;Y;N;Y;Y;;CHARLOTTE;MECKLENBURG;NC;28262;
I-200-17069-025310;WITHDRAWN;42804.0;42807.0;H-1B;42984.0;44080.0;MAXOTECH SOLUTIONS LLC;;1920 MCKINNEY AVE;DALLAS;TX;75201;UNITED STATES OF AMERICA;;2162125823;;N;,;;;PROGRAMMER ANALYST;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;54169;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;68827.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;68827.0;75000.0;Year;N;N;Y;;;DALLAS;DALLAS;TX;75201;
I-200-17045-772379;CERTIFIED;42789.0;42795.0;H-1B;42917.0;44012.0;UC PHYSICIANS, INC.;;222 PIEDMONT AVENUE;CINCINNATI;OH;45219;UNITED STATES OF AMERICA;;5134758000;;N;,;;;PHYSICIAN;25-1071;HEALTH SPECIALTIES TEACHERS, POSTSECONDARY;621111;1.0;0.0;1.0;0.0;0.0;0.0;0.0;N;34.0;Hour;Level II;OES;2016;OFLC ONLINE DATA CENTER;57.75;0.0;Hour;N;N;NA;;;CINCINNATI;HAMILTON;OH;45267-0563;
I-200-17153-307644;CERTIFIED;42893.0;42899.0;H-1B;43064.0;44160.0;LINKEDIN CORPORATION;;1000 W. MAUDE AVENUE;SUNNYVALE;CA;94085;UNITED STATES OF AMERICA;;6506873600;;Y;WOLF, STEPHANIE;SAN FRANCISCO;CA;SR. SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;518112;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;147222.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;147222.0;204800.0;Year;N;N;NA;;;SUNNYVALE;SANTA CLARA;CA;94085;
I-200-17081-005710;CERTIFIED;42816.0;42822.0;H-1B;42999.0;44094.0;ADBAKX LLC;N/A;2088 US HWY 130;MONMOUTH JUNCTION;NJ;08852;UNITED STATES OF AMERICA;N/A;3476841902;;Y;MHAISKAR, DIPTI;FRISCO;TX;BUSINESS ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;64813.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;65000.0;0.0;Year;Y;N;Y;Y;;MONMOUTH JUNCTION;MIDDLESEX;NJ;08852;
I-200-17038-240334;CERTIFIED;42773.0;42779.0;H-1B;42953.0;44048.0;CAPGEMINI AMERICA INC;N/A;333 WEST WACKER DRIVE;CHICAGO;IL;60606;UNITED STATES OF AMERICA;N/A;3123955000;;N;,;;;PROGRAMMER/DEVELOPER 1;15-1131;COMPUTER PROGRAMMERS;5416;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;56638.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;60000.0;0.0;Year;Y;N;Y;;;WHITEHOUSE STATION;HUNTERDON;NJ;08889;
I-200-17009-387066;CERTIFIED;42744.0;42748.0;H-1B;42744.0;43838.0;WIPRO LIMITED;;2 TOWER CENTER BLVD;EAST BRUNSWICK;NJ;08816;UNITED STATES OF AMERICA;N/A;7325091586;;N;,;;;CONSULTANT;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1.0;0.0;0.0;1.0;0.0;0.0;0.0;Y;62150.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;62150.0;0.0;Year;Y;N;Y;N;;WILMINGTON;NEW CASTLE;DE;19801;
I-200-17039-585902;CERTIFIED;42774.0;42780.0;H-1B;42954.0;44049.0;CAPGEMINI AMERICA INC;N/A;333 WEST WACKER DRIVE;CHICAGO;IL;60606;UNITED STATES OF AMERICA;N/A;3123955000;;N;,;;;PROGRAMMER/DEVELOPER 3;15-1131;COMPUTER PROGRAMMERS;5416;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;89502.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;89600.0;0.0;Year;Y;N;Y;;;FRISCO;DENTON;TX;75034;
I-200-17080-098425;CERTIFIED;42815.0;42821.0;H-1B;42821.0;43916.0;AMAZON CORPORATE LLC;N/A;2021 7TH AVENUE;SEATTLE;WA;98121;UNITED STATES OF AMERICA;N/A;2062661000;;Y;BORDEAUX, MELISSA;BOSTON;MA;SOFTWARE DEVELOPMENT ENGINEER II;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;454111;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;106101.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;155000.0;0.0;Year;N;N;NA;;;SEATTLE;KING;WA;98121;
I-200-16322-077879;CERTIFIED;42695.0;42702.0;H-1B;42874.0;43969.0;AMAZON CORPORATE, LLC;;2021 7TH AVENUE;SEATTLE;WA;98121;UNITED STATES OF AMERICA;;2062661000;;Y;NORDBY, AMANDA;BOSTON;MA;SOFTWARE DEVELOPMENT ENGINEER III;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;454111;1.0;0.0;0.0;1.0;0.0;0.0;0.0;Y;122533.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;152900.0;0.0;Year;N;N;NA;;;SEATTLE;KING;WA;98109;
I-200-17248-019912;CERTIFIED;42983.0;42989.0;H-1B;42990.0;44086.0;ROYAL CYBER INC.;;55 SHUMAN BLVD;NAPERVILLE;IL;60563;;;;;;,;;;PROJECT MANAGER;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541519;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;93517.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;118000.0;0.0;Year;Y;N;Y;;;MEDLEY;MIAMI-DADE;FL;33178;
I-200-17040-829784;CERTIFIED;42779.0;42783.0;H-1B;42956.0;44052.0;KLA-TENCOR CORPORATION;;ONE TECHNOLOGY DRIVE;MILPITAS;CA;95035;UNITED STATES OF AMERICA;;4088753000;;Y;CHAUDHRY, SHEHRYAR;SAN FRANCISCO;CA;EMPLOYEE RELATIONS REPRESENTATIVE;13-1071;HUMAN RESOURCES SPECIALISTS;333314;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;73590.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;73590.0;0.0;Year;N;N;NA;;;MILPITAS;SANTA CLARA;CA;95035;
I-200-17068-660509;CERTIFIED;42803.0;42809.0;H-1B;42986.0;44082.0;NEW MIND EDUCATION, LLC;N/A;2526 HILLSBOROUGH STREET, SUITE 218;RALEIGH;NC;27607;UNITED STATES OF AMERICA;;9198053135;;Y;SHEU, JIUNN-LIANG;ROWLAND HEIGHTS;CA;CAREER PROGRAM COORDINATOR;21-1012;EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL;611710;1.0;1.0;0.0;0.0;0.0;0.0;0.0;N;19.64;Hour;Level I;Other;2017;OFLC ONLINE DATA CENTER;20.0;0.0;Hour;N;N;NA;Y;;RALEIGH;WAKE;NC;27607;
I-200-17073-314265;CERTIFIED;42808.0;42814.0;H-1B;42991.0;44086.0;ALPHAVISTA SERVICES, INC.;N/A;1290 KIFER ROAD;SUNNYVALE;CA;94086;UNITED STATES OF AMERICA;;4083312181;412;N;,;;;SPEECH LANGUAGE PATHOLOGIST;29-1127;SPEECH-LANGUAGE PATHOLOGISTS;621340;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;66747.0;Year;Level I;Other;2016;OFLC ONLINE DATA CENTER;66747.0;0.0;Year;Y;N;Y;Y;;SAN JOSE;SANTA CLARA;CA;95131;
I-200-16342-376897;CERTIFIED;42711.0;42717.0;H-1B;42711.0;43804.0;DIZER CORP;N/A;1912 MENTOR AVENUE;PAINESVILLE;OH;44077;UNITED STATES OF AMERICA;N/A;4403680200;201;N;,;;;OPERATIONS SUPPORT SPECIALIST/LINUX ADMINISTRATOR;15-1142;NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;71427.0;Year;Level I;Other;2016;OFLC ONLINE DATA CENTER;71500.0;0.0;Year;Y;N;Y;Y;;PALO ALTO;SANTA CLARA;CA;94304;
I-200-17037-635266;CERTIFIED-WITHDRAWN;42800.0;42912.0;H-1B;42952.0;44047.0;PERSONALIZED BEAUTY DISCOVERY, INC.;;201 BALDWIN AVE, FL 2;SAN MATEO;CA;94401;UNITED STATES OF AMERICA;;8326182413;;Y;MCCOWN, KELLY;SAN FRANCISCO;CA;SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;454111;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;117770.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;117770.0;136573.0;Year;N;N;NA;;;SAN MATEO;SAN MATEO;CA;94401;42804.0
I-200-16294-499719;CERTIFIED;42663.0;42669.0;H-1B;42663.0;43757.0;CAPGEMINI AMERICA INC;N/A;333 WEST WACKER DRIVE;CHICAGO;IL;60606;UNITED STATES OF AMERICA;N/A;3123955000;;N;,;;;PROGRAMMER/DEVELOPER 2;15-1131;COMPUTER PROGRAMMERS;5416;3.0;0.0;1.0;0.0;0.0;1.0;1.0;Y;54787.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;60000.0;0.0;Year;Y;N;Y;;;BLUE ASH;HAMILTON;OH;45242;
I-200-17080-123976;CERTIFIED;42815.0;42821.0;H-1B;42993.0;44089.0;VALIDATION TECHNOLOGY SERVICES INC.;;5 SCHALKS CROSSING ROAD;PLAINSBORO;NJ;08536;UNITED STATES OF AMERICA;;6095801346;;Y;GOTCHER, JAMES;CALABASAS HILLS;CA;VALIDATION ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;72197.0;Year;Level II;Other;2016;OFLC ONLINE DATA CENTER;75000.0;0.0;Year;N;N;NA;Y;;ROUND LAKE;LAKE;IL;60073;
I-200-17024-696854;CERTIFIED;42775.0;42781.0;H-1B;42937.0;44030.0;INFOSYS LIMITED;N/A;6100 TENNYSON PARKWAY;PLANO;TX;75024;UNITED STATES OF AMERICA;N/A;4694672608;;N;,;;;CONSULTANT - US;15-1121;COMPUTER SYSTEMS ANALYST;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;66373.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;74638.0;0.0;Year;Y;N;Y;;;INDIANAPOLIS;MARION;IN;46225;
I-200-17003-984242;CERTIFIED;42738.0;42744.0;H-1B;42919.0;44014.0;IBM CORPORATION;;3039 E CORNWALLIS RD;DURHAM;NC;27709;UNITED STATES OF AMERICA;;9192544342;;N;,;;;TECHNICAL LEADER;15-1121;COMPUTER SYSTEMS ANALYSTS;54151;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;73091.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;90228.0;0.0;Year;N;N;NA;;;DURHAM;DURHAM;NC;27709;
I-200-16337-424183;CERTIFIED;42706.0;42712.0;H-1B;42889.0;43555.0;IBM INDIA PRIVATE LIMITED;;3039 CORNWALLIS ROAD;DURHAM;NC;27709;UNITED STATES OF AMERICA;;9194862694;;N;,;;;SENIOR APPLICATION CONSULTANT;15-1131;COMPUTER PROGRAMMERS;54151;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;51293.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;67813.0;0.0;Year;N;N;NA;;;MILWAUKEE;MILWAUKEE;WI;53204;
I-200-17062-105004;CERTIFIED;42801.0;42807.0;H-1B;42809.0;43905.0;BOMMARITO PERFORMANCE SYSTEMS, LLC;;6877 NW 66TH AVE.;PARKLAND;FL;33324;UNITED STATES OF AMERICA;BROWARD;9543050342;;Y;WEISS ESQ, JESSICA;SCOTTSDALE;AZ;PERFORMANCE COACH;27-2022;COACHES AND SCOUTS;713940;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;28350.0;Year;Level I;OES;2017;OFLC ONLINE DATA CENTER;30000.0;30000.0;Year;N;N;NA;;;DAVIE;BROWARD;FL;33317;
I-200-16279-458058;CERTIFIED;42648.0;42655.0;H-1B;42667.0;43008.0;COOLSOFT LLC;N/A;1902 CAMPUS PLACE;LOUISVILLE;KY;40299;UNITED STATES OF AMERICA;;5023279805;5001;N;,;;;BUSINESS ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;5415;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;66414.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;69000.0;0.0;Year;Y;N;Y;;;BOISE;ADA;ID;83720;
I-200-16313-115465;CERTIFIED;42682.0;42689.0;H-1B;42705.0;43800.0;COMMUNITY ASSISTANCE RESOURCES & EXTENDED SERVICE, INC.;CARES;465 GRAND ST.;NEW YORK;NY;10002;UNITED STATES OF AMERICA;N/A;2124201999;;Y;JENSEN, PETER;NEW YORK;NY;PHYSICAL THERAPIST;29-1123;PHYSICAL THERAPISTS;624120;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;65749.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;70000.0;0.0;Year;N;N;NA;Y;;NEW YORK;NEW YORK;NY;10002;
I-200-17234-940702;CERTIFIED;42969.0;42975.0;H-1B;42980.0;44073.0;INFOSYS LIMITED;;6100 TENNYSON PARKWAY;PLANO;TX;75024;;;;;;,;;;PROJECT MANAGER - US - PRACTITIONER;15-1121;COMPUTER SYSTEMS ANALYST;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;89419.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;89419.0;0.0;Year;Y;N;Y;;;NORTHBROOK;COOK;IL;60062;
I-200-17045-000354;CERTIFIED;42783.0;42790.0;H-1B;42917.0;44012.0;TATA CONSULTANCY SERVICES LIMITED;;9201 CORPORATE BOULEVARD;ROCKVILLE;MD;20850;UNITED STATES OF AMERICA;;3012319083;;Y;GOEL, VIC;RESTON;VA;ARCHITECT;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;71781.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;71781.0;87000.0;Year;Y;N;Y;;;EDISON;MIDDLESEX;NJ;08837;
I-200-17041-389095;CERTIFIED;42776.0;42782.0;H-1B;42954.0;44049.0;MARVELL SEMICONDUCTOR, INC.;;5488 MARVELL LANE;SANTA CLARA;CA;95054;UNITED STATES OF AMERICA;;4082222500;;Y;IM, JANG;SAN FRANCISCO;CA;ENGINEER, STAFF SOFTWARE;15-1133;SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE;334413;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;123563.0;Year;N/A;Other;2017;RADFORD GLOBAL TECHNOLOGY SURVEY;124000.0;160000.0;Year;Y;N;Y;;;SANTA CLARA;SANTA CLARA;CA;95054;
I-200-17131-828591;CERTIFIED;42866.0;42872.0;H-1B;42898.0;43994.0;PRINCIPLE SOLUTIONS GROUP, LLC;N/A;5 CONCOURSE PARKWAY;ATLANTA;GA;30328;UNITED STATES OF AMERICA;N/A;7703994500;;Y;KIHUMBA, BARBARA;ATLANTA;GA;QA ENGINEER IV;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;541519;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;80933.0;Year;Level II;OES;2017;OFLC ONLINE DATA CENTER;85000.0;0.0;Year;N;N;NA;N;;CARY;WAKE;NC;27513;
I-200-17146-231803;CERTIFIED;42881.0;42888.0;H-1B;43009.0;44104.0;KULICKE & SOFFA INDUSTRIES, INC.;N/A;1005 VIRGINIA DRIVE;FORT WASHINGTON;PA;19034;UNITED STATES OF AMERICA;N/A;2157846129;;Y;GRODE, JONATHAN;PHILADELPHIA;PA;STAFF ENGINEER, PROCESS;17-2141;MECHANICAL ENGINEERS;333295;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;74298.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;108777.24;0.0;Year;N;N;NA;;;FORT WASHINGTON;MONTGOMERY;PA;19034;
I-200-17202-985233;CERTIFIED;42944.0;42950.0;H-1B;42979.0;44075.0;MCKINSEY & COMPANY, INC. UNITED STATES;;711 THIRD AVENUE;NEW YORK;NY;10017;;;;;;,;;;ASSOCIATE (MANAGEMENT CONSULTANT);13-1111;MANAGEMENT ANALYSTS;54161;1.0;0.0;0.0;1.0;0.0;0.0;0.0;Y;40.98;Hour;;OES;2017;OFLC ONLINE DATA CENTER;49.45;97.25;Hour;N;N;NA;Y;;BOSTON;SUFFOLK;MA;02210;
I-200-17055-809412;CERTIFIED;42790.0;42796.0;H-1B;42795.0;43281.0;THE TRUSTEES OF PRINCETON UNIVERSITY;PRINCETON UNIVERSITY;C/O DAVIS INTERNATIONAL CENTER;PRINCETON;NJ;08544;UNITED STATES OF AMERICA;;6092589403;;N;,;;;ASSISTANT PROFESSOR;25-1063;ECONOMICS TEACHERS, POSTSECONDARY;611310;1.0;0.0;0.0;1.0;0.0;0.0;0.0;Y;63420.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;100000.0;0.0;Year;N;N;NA;Y;;PRINCETON;MERCER;NJ;08544;
I-200-17073-738834;CERTIFIED;42808.0;42814.0;H-1B;42986.0;44081.0;TAVANT TECHNOLOGIES, INC;N/A;3965 FREEDOM CIRCLE;SANTA CLARA;CA;95054;UNITED STATES OF AMERICA;N/A;4085195400;;Y;MEAMBER, NAVDEEP;SANTA CLARA;CA;TECHNICAL ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;2.0;2.0;0.0;0.0;0.0;0.0;0.0;Y;70470.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;75000.0;0.0;Year;Y;N;Y;;;WEST FARGO;CASS;ND;58078;
I-200-17256-820652;CERTIFIED;42991.0;42997.0;H-1B;43096.0;44191.0;YIELDMO, INC.;;218 WEST 18TH ST., 2ND FL;NEW YORK;NY;10011;;;;;;,;;;SOFTWARE ENGINEER (DATA ARCHITECT);15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;519130;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;114026.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;170000.0;0.0;Year;N;N;;;;NEW YORK;NEW YORK;NY;10011;
I-200-16364-335279;CERTIFIED;42733.0;42740.0;H-1B;42740.0;43835.0;NATSOFT CORPORATION;;1075 EASTON AVENUE;SOMERSET;NJ;08873;UNITED STATES OF AMERICA;;7327260593;;N;,;;;COMPUTER PROGRAMMER;15-1131;COMPUTER PROGRAMMERS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;73070.0;Year;Level II;Other;2016;OFLC ONLINE DATA CENTER;74000.0;0.0;Year;Y;N;Y;Y;;WILMINGTON;NEW CASTLE;DE;19801;
I-200-17076-381288;CERTIFIED;42811.0;42817.0;H-1B;42948.0;44043.0;LUMINOUS TEC LLC;;3199 AIRPORT LOOP DR ST A1;COSTA MESA;CA;92626;UNITED STATES OF AMERICA;;7143608361;;Y;NALLIAH, RAJAGURU;BLOOMFIELD HILLS;MI;DATABASE ADMINISTRATOR;15-1141;DATABASE ADMINISTRATORS;541511;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;48776.0;Year;Level I;Other;2016;OFLC ONLINE DATA CENTER;60000.0;0.0;Year;N;N;NA;Y;;COSTA MESA;ORANGE;CA;92626;
I-200-16316-819284;CERTIFIED;42691.0;42697.0;H-1B;42691.0;43785.0;DELOITTE CONSULTING LLP;;1700 MARKET STREET;PHILADELPHIA;PA;19103;UNITED STATES OF AMERICA;;9736025495;;Y;MAY, JANICE;TORONTO;;CONSULTANT;15-2031;OPERATIONS RESEARCH ANALYSTS;54161;15.0;0.0;0.0;0.0;0.0;0.0;15.0;Y;42578.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;66200.0;126700.0;Year;N;N;NA;;;LAKE FOREST;LAKE;IL;60045;
I-200-17187-900786;CERTIFIED;42922.0;42928.0;H-1B;42926.0;44021.0;BAHWAN CYBERTEK INC.;;209 WEST CENTRAL STREET, SUITE 312;NATICK;MA;01760;;;;;;,;;;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;85509.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;85600.0;0.0;Year;Y;N;Y;;;NATICK;MIDDLESEX;MA;01760;
I-200-17045-628546;CERTIFIED;42782.0;42789.0;H-1B;42962.0;44058.0;THE BANK OF NEW YORK MELLON;;BNY MELLON CENTER;PITTSBURGH;PA;15258;UNITED STATES OF AMERICA;;3027911926;;Y;BEARDSLEY, RACHEL;NEW YORK;NY;JUNIOR QUANTITATIVE RISK ANALYST;13-2051;FINANCIAL ANALYSTS;523110;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;49733.0;Year;Level I;OES;2016;OFLC ONLINE DATA CENTER;85000.0;0.0;Year;N;N;NA;Y;;PITTSBURGH;ALLEGHENY;PA;15258;
I-200-17081-045218;CERTIFIED;42816.0;42822.0;H-1B;42821.0;43916.0;DELOITTE CONSULTING LLP;N/A;1700 MARKET STREET;PHILADELPHIA;PA;19103;UNITED STATES OF AMERICA;N/A;9736025495;;Y;REILLY, THOMAS;TORONTO;;MANAGER;15-1133;SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE;54161;15.0;0.0;0.0;0.0;0.0;0.0;15.0;Y;94557.0;Year;Level III;OES;2016;OFLC ONLINE DATA CENTER;98000.0;0.0;Year;N;N;NA;;;PHILADELPHIA;PHILADELPHIA;PA;19103;
I-200-17031-032818;CERTIFIED;42766.0;42772.0;H-1B;42766.0;43860.0;WIPRO LIMITED;;2 TOWER CENTER BLVD;EAST BRUNSWICK;NJ;08816;UNITED STATES OF AMERICA;N/A;7325091586;;N;,;;;CONSULTANT;15-1199;COMPUTER OCCUPATIONS, ALL OTHER;541511;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;79518.0;Year;Level II;OES;2016;OFLC ONLINE DATA CENTER;79518.0;0.0;Year;Y;N;Y;N;;SHELTON;FAIRFIELD;CT;06484;
I-200-17248-876593;CERTIFIED;42983.0;42989.0;H-1B;42997.0;44092.0;GREAT HEIGHTS CONSULTING CORP.;;159-24 HILLSIDE AVENUE;JAMAICA;NY;11432;;;;;;,;;;PROGRAMMER ANALYST;15-1121;COMPUTER SYSTEMS ANALYSTS;541511;1.0;0.0;1.0;0.0;0.0;0.0;0.0;Y;86653.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;86653.0;0.0;Year;N;N;NA;Y;;JAMAICA;QUEENS;NY;11432;
I-200-17261-819431;CERTIFIED;42997.0;43003.0;H-1B;43010.0;44106.0;FACEBOOK, INC.;;1 HACKER WAY;MENLO PARK;CA;94025;;;;;;,;;;SOFTWARE ENGINEER;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;518112;1.0;0.0;0.0;0.0;0.0;1.0;0.0;Y;142168.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;165000.0;0.0;Year;Y;N;Y;;;MENLO PARK;SAN MATEO;CA;94025;
I-200-17256-834087;CERTIFIED;42991.0;42997.0;H-1B;42999.0;44094.0;SUMMITWORKS TECHNOLOGIES, INC.;;50 CRAGWOOD ROAD;SOUTH PLAINFIELD;NJ;07080;;;;;;,;;;PROGRAMMER ANALYST;15-1131;COMPUTER PROGRAMMERS;541511;1.0;0.0;0.0;0.0;0.0;0.0;1.0;Y;71698.0;Year;;OES;2017;OFLC ONLINE DATA CENTER;71700.0;0.0;Year;Y;N;Y;Y;;O FALLON;ST. CHARLES;MO;63368-7263;
I-200-17065-406686;CERTIFIED;42801.0;42807.0;H-1B;42979.0;44073.0;BARCLAYS SERVICES CORP.;N/A;745 SEVENTH AVENUE;NEW YORK;NY;10019;UNITED STATES OF AMERICA;N/A;2124124000;;Y;ALTMAN, ADENA;NEW YORK;NY;SOFTWARE ARCHITECT, INVESTMENT BANKING (IB) TECHNOLOGY;15-1132;SOFTWARE DEVELOPERS, APPLICATIONS;523110;1.0;1.0;0.0;0.0;0.0;0.0;0.0;Y;111405.0;Year;Level III;OES;2017;OFLC ONLINE DATA CENTER;122000.0;148000.0;Year;N;N;;Y;;NEW YORK;NEW YORK;NY;10019;
